label,text
2,"I got the Matcha Chiffon cake and the Chai Latte. The chiffon cake was light and fluffy with great flavor, as for the latte, it was one of the greatest chai lattes I've ever had! Definitely a staple!"
2,"This place is less than OK I would give it a 1 1/2. When it first opened, my friends and I would go there after school a lot. The general tao is pretty good, but you realize its mostly fat and batter, and they use dark meat, which is fine I guess. The green curry was less than ok, the chicken is cut really weird, and I baically got only 5 pieces of chicken, and the curry was super watery, also it didnt come with rice or anything so I had to order that after. The chicken balls are alright, but mostly batter and the sweet and sour sauce is alright. In conclution I much prefer Mayflower over this restaurant. I prefer Mayflower's business over this place."
3,"Meh. 

That basically sums up my recent experience at El Trompo. Sure, the food was decent, and I appreciate the variety of jarritos available, but the service was blah and the whole thing was just overpriced. 

On the servers recommendation, I tried the first tacos on the list, with pork and pineapple (the name escapes me). They were alright, but kind of dry and really nothing special. I topped it with the guacamole that we were up-sold (I'm still not quite sure how that happened!).

When the bill came, I was pretty shocked - the guac was a whole $7!! For a tiny bowl!! Considering I didn't really want it in the first place, I was pretty unhappy. 

We also had to spend quite a bit of time getting our servers attention for water and the bill. 

Overall, not so impressed."
2,"Some of the best food we had during our stay was at ATG.  The bartender was great.  They have a really nice beer selection, including some of the local craft beers, rather than just the standard Rickards, Alex Keith, and Molson.

Definitely on the list of must stops next time we're in town."
2,"I stopped by twice. The first was before they released the matcha cheesecake, so I grabbed a couple of the regular matcha madeleines. I thought they were very buttery with the perfect hint of matcha.

The second time I stopped by with the sole purpose of grabbing a cheesecake. The lineup wasn't that bad. I had to wait 10 minutes while the cheesecakes were baking in the oven. I also grabbed a few of the red bean Madeleines. I was actually a bit disappointed in the cheesecake. The original is MUCH better. It tasted good, but the matcha masked the taste of the cream cheese, so it felt more like eating a matcha cake, not CHEESEcake. It's worth trying if there's no line. My favourite were the red bean madeleines though. The matcha was very flavorful and the red bean filling made for a nice gooey center. I will definitely grab a couple more of those the next time I'm in the neighborhood."
1,"I've eaten here many times, and the food is always delicious and authentic Italian. Prices are reasonable (for downtown Toronto), and it has a somewhat upscale atmosphere. Don't pass up coffee and dessert!"
1,Very cheap korean food on bloor. They have very good selections of korean food. I ordered combo (rice cake and kimbab) and bibimbap and could not finish them. Very friendly staff. Recommend this place!
2,"**This review is only for the shave ice**

While my niece and I were walking up and down Kensington Market, I had mentioned that one of the things that I've always wanted to try was Hawaiian shave ice in Hawaii. We stumbled upon North Poke and it was like a mirage appeared because this shop was probably the closest thing comparable to Hawaii!

The fresh smell of fish for poke was enticing, but I was still full from an AYCE lunch earlier, boo. There were two sizes to choose from, regular and large. We opted to share a regular with two syrup choices (we chose peach and strawberry) with condensed ice. The staff used a legit ice shaving machine. You can start eating it with a spoon and use a straw to drink it afterward. There's limited seating inside the restaurant but we were able to get a window seat. It was a flavorful, light dessert that's definitely shareable. Hopefully I can go to Hawaii in the near future to try shave ice there!"
2,"If you like waiting for a long time (over a hour) for rude services, this is the perfect spot. This place is hot as it is the hype, do not go if you have a party of 4 as the wait is even longer."
2,"I was here for dinner on a Monday night, so it wasn't busy, yet the service was more than terrible. The host was miserable - I don't think she spoke to me and she definitely didn't smile. I waited for 20 minutes before asking a passing server if I could order a drink and the guy at the table next to me had been waiting longer. When she did bring my drink, she brought the one wrong, gave the guy at the next table the wrong one as well, and then didn't bother to ask my now arrived companion if she could get him a drink. It proceeded to go this way the rest of the evening - mix ups and confusion. My companion and I each had a sandwich of sorts which were only mediocre. I give this spot one star for the atmosphere and its tasty sweet potato fries. Don't go here."
