Business_Id,Name,Text,food_rating,f_prob_pos,f_prob_neu,f_prob_neg,price_rating,p_prob_pos,p_prob_neu,p_prob_neg,service_rating,s_prob_pos,s_prob_neu,s_prob_neg
r_BrIgzYcwo1NAuG9dLbpg,Pai Northern Thai Kitchen,cool place thai food used love pad thai felt food quality getting lower rarely go,1,99.4582,0.1515,0.3903,3,29.9891,15.7499,54.2611,2,27.2148,64.7406,8.0446
r_BrIgzYcwo1NAuG9dLbpg,Pai Northern Thai Kitchen,got beef pad thai lemongrass drink really like lemongrass drink refreshing summer,1,99.9785,0.0156,0.0059,2,19.3047,65.6155,15.0798,1,52.248,43.9465,3.8055
r_BrIgzYcwo1NAuG9dLbpg,Pai Northern Thai Kitchen,staying downtown craving authentic thai place rico best tough get well worth wait,1,81.4845,16.3746,2.141,3,5.6892,18.1419,76.169,2,9.045,47.4812,43.4738
iGEvDk6hsizigmXhDKs2Vg,Seven Lives Tacos Y Mariscos,best tacos toronto hands portions large filling store fancy prices cheap amount quality food favourite octopus,1,97.1986,2.7807,0.0207,2,4.19,70.5013,25.3087,2,40.874,54.4837,4.6424
RtUvSWO_UZ8V3Wpj0n077w,KINKA IZAKAYA ORIGINAL,bad place nice urban amazing atmosphere good service food unique fresh really like like crowd go one hotspot might end piss life unimportant however feel like one time thing nice try go tapas expensive taste brokelife wanna wear fancy panty go first date impress bad,3,14.7333,17.9315,67.3353,3,1.6963,40.1596,58.1441,2,22.9514,69.5195,7.5291
EXd0QOsqz6sAOUjMJba_9w,Ginger Restaurant,aweful eat somewhere else ordered pad thai hot sour chicken tasted like ketchup noodles girl ordered papaya salad came shredded carrots top instead papaya lady counter insisted carrots papaya ridiculous worst vietnamese restaurant experience toronto food cheap even still get paid,1,99.9489,0.0113,0.0397,2,3.0245,54.1917,42.7839,2,11.2406,88.4805,0.2789
UxWH8zRYIBgs6Q2oykvRdw,Cluny Bistro & Boulangerie,whisked away disneyfied cobblestones distillery equally place parisian bistro decor fantastic rumour spent million dollars interior shows delicious food shiny people c est dommage environs make want dress period costume one point find screaming bon jour de res loud possible bludgeon heaps butter could one complain,3,36.3578,10.4523,53.1898,2,3.7143,59.7515,36.5342,2,6.6064,62.6033,30.7903
S6dDwVGap_F1rbDwFmMUDg,Gazi Mezebar,came wednesday evening work friends dinner friend heard restaurant blogto wanted give try bad idea restaurant completely dead think lost hearing really loud music played ordered dishes thank goodness none tasted extraordinary shocking one beet salad ordered beet salad hoping would look somewhat posted instagram account boy shocked arrived table included picture beet salad post please compare picture instagram picture deceiving coming back service good food,1,99.8444,0.0314,0.1242,2,0.0772,98.6759,1.2469,1,75.5906,20.3672,4.0422
EJmiKQKlWfY-0iVlya7FOQ,Z-Teca,dinner second time coming guess make bad impression last time black bean corn quesadilla pretty good remember went group around took us lot time everyone got food seated since staff thought sunday morning time went friday night thing staff lucky get early poor girls behind us probably wait minutes got food dine fine unfortunately supposed fast food restaurant anyway time nachos two steak tacos mango salsa interesting really wish heated tacos nachos crunchy possible cut mouth,1,99.8642,0.112,0.0238,2,11.6172,50.9033,37.4795,3,36.2065,25.6537,38.1398
Zuwzb89m5JfOGyPgknSbCQ,Cafe Cinquecento,food really tasty fresh good quality dealfind vouchers us went together pasta salmon salads pizzas everything tasted good reason stars wait normally expect spend hours restaurant courses appetizers entrees cafe cinquecento hours complete meal appetizers came almost mins ordering entree hour half gfs wine noticed much dad sis fiance hubby driving dad sister one ordered drinks hungry asked multiple bread baskets service started good owner coming talking us restaurant practically empty eventually filled capacity service disappeared flag waiters water bread continued wait time entrees came matter great food really enjoy rest meal due ravenous hunger everyone itching leave irritated restaurant going take part online vouchers please hire staff support new customers hoping become regulars would go back food went friends eaten late lunch planned hang remainder night see darken ambiance relaxing fun chat maybe better luck next time,1,90.8496,8.7398,0.4106,2,1.1582,96.2205,2.6213,3,5.0549,5.9494,88.9957
cVlW0omVTRaVJqnT-OBBsQ,Piola,awesome food service along pizza check meatballs bruschetta,1,99.4623,0.4592,0.0785,2,32.5482,65.3467,2.1051,2,12.6841,86.5152,0.8007
r_BrIgzYcwo1NAuG9dLbpg,Pai Northern Thai Kitchen,delicious meals well priced lunch decor fun waitstaff friendly highly recommend,1,64.9281,16.6329,18.439,1,86.0967,4.8578,9.0454,3,0.5341,2.3114,97.1545
r_BrIgzYcwo1NAuG9dLbpg,Pai Northern Thai Kitchen,loved food khao soi life food takeout via ritual travels well tastes flavourful hot still,1,99.669,0.1451,0.1859,1,42.2691,34.5601,23.1708,2,5.0808,87.3547,7.5645
PyjnsWzNUTo1n2ohq0QznA,Dirty Food Eatery,need extended review food friend ordered adequate proportions pleasing eye fantastic consume back,1,69.9649,0.1742,29.8609,2,4.1883,84.4864,11.3253,1,35.0422,32.2469,32.7109
RtUvSWO_UZ8V3Wpj0n077w,KINKA IZAKAYA ORIGINAL,love lively almost rowdy atmosphere place great spot hang friends whether getting drinks also grabbing food,1,95.0489,2.5457,2.4055,2,12.6829,73.6369,13.6801,3,1.5186,3.6981,94.7832
es3Uj0jMtHstkvwNNhihNQ,Tokyo Sushi,sushi delicious rolls pretty good like ordering sashimi platters problem parking around cause st clair would come,1,98.8513,0.5132,0.6356,1,55.284,38.1179,6.5981,3,35.5892,25.3965,39.0143
ttuEwktrkmh3TUlSFPZqAA,Banh Mi Boys,simple concept priced right unique flavor quick service great place budget lunch downtown toronto try area go back,2,12.3394,73.1919,14.4687,1,79.7573,2.3799,17.8628,2,4.0332,94.933,1.0338
Y8WQEE41enzefOEq_Gmhww,Cho Dang Soon Tofu,favourite korean place toronto vegetarian loved homemade soon tofu vegetarian meal great deal get lot different dishes delicious,1,95.1664,4.5636,0.2699,2,12.2368,82.0886,5.6746,3,18.4139,7.9519,73.6342
r_BrIgzYcwo1NAuG9dLbpg,Pai Northern Thai Kitchen,went work offsite food faster could order drink want say bad thing work function probably better pump system full liquor much would liked end day outstanding,3,3.219,4.4185,92.3626,2,3.6454,96.0568,0.2977,3,1.6143,20.4,77.9857
5B8dlAoL59SjTft330E9cw,Mos Mos,officially new go worktime coffee breaks matcha latte amazing service fast order entrance line via cute sticker system start making drink wait time get cash drink ready baked goods also look great sometimes cookies treats low matcha cookie sweet strong matcha flavour update taro latte amazing beautiful light purple distinct taste sweet artificial tasting taro bubble tea,1,99.8256,0.1705,0.0039,2,0.7368,99.0982,0.165,1,65.2701,32.6767,2.0532
N93EYZy9R0sdlEvubu94ig,Banh Mi Boys,happy see bmb still well husband recently visited toronto year hiatus live states course hit bmb judge us spent fast food two us kimchi fries still bomb kalbi banh mi still excellent although better baguettes pork belly bao still rivals many restaurants also tried duck confit salad fried squid taco fantastic always recommend bmb friends visiting toronto please open location us hometown boston,1,99.9459,0.0193,0.0347,2,1.6766,88.4341,9.8893,1,60.8115,22.9395,16.249
R7KTG4vKcSOHlYaaLxHGUg,Elchi Chai Shop,high hopes place since love good tea shop however felt little let decor bright cheerful vibe cold unlike temperature inside roasting even cool day conducive longer stay service kind lukewarm think display cookies promoted food offerings one person place midday great sign chai okay way better plentea great customer service also moonbeam kensington feel kind bad negative since normally positive indie cafes,1,59.0538,21.9634,18.9828,2,0.7869,97.2785,1.9346,3,37.0501,23.2582,39.6917
cB7FhpOwFCn380G6WGpJzw,Golden Thai Restaurant,serious let place supposedly one best thai restaurants city visited golden thai saturday afternoon weeks ago completely empty usually bad sign forged ahead heard good things place listened gut food awful great either overpriced vegetarian thing day went vegetarian platter two one person thai vegetable soup golden thai tofu steamed rice honest food boring lacklustre even remember anything intelligent say say really disappointed lack wonderful flavour fragrance usually expect thai food overall experience par spring rolls good sign maybe ordered wrong things maybe meat options better veggy ones certainly back check superb mengrai thai http www yelp ca biz mengrai gourmet thai toronto short walk away know anyone would eat golden thai,1,99.9314,0.018,0.0506,2,1.6599,87.8401,10.4999,1,73.3554,5.3317,21.3129
